"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"Gruppe_Allgemein";"COMM1_Sch_IG";"COMM2_Sch_IG";"COMM3_Sch_IG";"COMM4_Sch_IG";"COMM5_Sch_IG";"COMM6_Sch_IG";"COMM7_Sch_IG";"OE2_Sch_IG";"CSE2_Sch_IG";"Int_Sch_IG";"PL_Sch_IG";"VUEIC1_Sch_IG";"VUEIC2_Sch_IG";"Alter_Sch_IG";"Ausbildung_Sch_IG";"Familie_Sch_IG";"HBJUB";"TK";"GH";"FB";"TW";"Insta";"NG";"SV";"IA";"ZA";"Google";"Sonstiges";"Sonstiges_Text";"UserCode_1_Sch_IG";"UserCode_2_Sch_IG";"UserCode_3_Sch_IG";"UserCode_4_Sch_IG";"COMM1_Ang_IG";"COMM2_Ang_IG";"COMM3_Ang_IG";"COMM4_Ang_IG";"COMM5_Ang_IG";"COMM6_Ang_IG";"COMM7_Ang_IG";"OE2_Ang_IG";"CSE2_Ang_IG";"Int_Ang_IG";"PL_Ang_IG";"VUE1_Ang_IG";"VUE2_Ang_IG";"Alter_Ang_IG";"Ausbildung_Ang_IG";"Familie_Ang_IG";"HBJUB_Ang_IG";"TK_Ang_IG";"GH_Ang_IG";"FB_Ang_IG";"TW_Ang_IG";"Insta_Ang_IG";"NG_Ang_IG";"SV_Ang_IG";"IA_Ang_IG";"ZA_Ang_IG";"Google_Ang_IG";"Sonstiges_Ang_IG";"Sonstiges_Text_Ang_IG";"Code_ang_IG1";"Code_ang_IG2";"Code_ang_IG3";"Code_ang_IG_ges";"COMM1_MA_IG";"COMM2_MA_IG";"COMM3_MA_IG";"COMM4_MA_IG";"COMM5_MA_IG";"OE2_MA_IG";"SE_MA_IG";"Int_MA_IG";"PL_MA_IG";"Zufr1_MA_IG";"Zufr2_MA_IG";"Zufr3_MA_IG";"Geschlecht_MA_IG";"Alter_MA_IG";"Ausbildung_MA_IG";"Familie_MA_IG";"HBJUB_MA_IG";"TK_MA_IG";"GH_MA_IG";"FB_MA_IG";"TW_MA_IG";"Insta_MA_IG";"NG_MA_IG";"SV_MA_IG";"IA_MA_IG";"ZA_MA_IG";"Google_MA_IG";"Sonstiges_MA_IG";"Sonstiges_Text_MA_IG";"UserCode_1_MA_IG";"UserCode_2_MA_IG";"UserCode_3_MA_IG";"UserCode_4_MA_IG";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"tic"
"16";"0";"0";"22";"7283839";"-77";"16";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 9; moto g(6)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"0";"1";"0";"-77";"-77";"5293a2bbc4e16ca35bd4138f48647ec9";"1";"0";"1675408621";"2023-02-03 07:17:01";"2023-02-03 07:17:23";"0000-00-00 00:00:00";"-66"
"17";"0";"0";"22";"7283839";"-77";"6";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 13; SM-G988B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"0";"0";"0";"-77";"-77";"d4c3e8c855b67b715b49811eedee1193";"1";"0";"1675429434";"2023-02-03 13:03:54";"2023-02-03 13:04:06";"0000-00-00 00:00:00";"-66"
"18";"0";"0";"22";"7283839";"-77";"22";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 12; M2101K6G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"0";"0";"0";"-77";"-77";"4f780ec6b1e9c1907d747b0c4b5923d0";"1";"0";"1675444341";"2023-02-03 17:12:21";"2023-02-03 17:13:07";"0000-00-00 00:00:00";"-66"
"19";"0";"0";"22";"7283841";"-77";"150";"-66";"1";"5";"5";"4";"4";"5";"4";"4";"4";"2";"6";"4";"1";"2";"34";"4";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Ma";"Al";"22";"MaAl22";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"0";"0";"-77";"-77";"a0e34d8e7b4f1b41726d3f317a346fae";"1";"0";"1675452362";"2023-02-03 19:26:02";"2023-02-03 19:29:18";"0000-00-00 00:00:00";"d629175ee54203d03b746a53d7210d2a"
"20";"0";"0";"22";"7283841";"-77";"201";"-66";"1";"4";"2";"2";"1";"5";"1";"5";"6";"3";"6";"4";"6";"6";"31";"3";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Ut";"He";"18";"UtHe18";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"1";"1";"0";"-77";"-77";"d44d92d039e7ade896efed6812ebef0e";"1";"0";"1675490547";"2023-02-04 06:02:27";"2023-02-04 06:10:29";"0000-00-00 00:00:00";"c8ae9a67e9c6fee72373b60fd05abe0d"
"22";"0";"0";"22";"7283839";"-77";"15";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"0";"0";"0";"-77";"-77";"f207528a8b063d2325090ff672719478";"1";"0";"1675494214";"2023-02-04 07:03:34";"2023-02-04 07:03:53";"0000-00-00 00:00:00";"-66"
"23";"0";"0";"22";"7283841";"-77";"147";"-66";"1";"2";"3";"4";"4";"6";"4";"5";"5";"4";"5";"3";"5";"5";"31";"4";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Ka";"Ka";"20";"KaKa20";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Android 13; Mobile; rv:109.0) Gecko/109.0 Firefox/109.0";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"1";"1";"0";"-77";"-77";"68c115daad728425bce7c4a280d379dd";"1";"0";"1675511517";"2023-02-04 11:51:57";"2023-02-04 11:56:31";"0000-00-00 00:00:00";"ad6d78f7e221afaa09a03f7619bb6747"
"24";"0";"0";"22";"7283840";"-77";"33";"-66";"1";"3";"2";"5";"5";"2";"4";"3";"4";"4";"5";"4";"4";"4";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840";"0";"0";"0";"-77";"-77";"93eb7ac923b1532db18cdc4eb350c035";"1";"0";"1675524429";"2023-02-04 15:27:09";"2023-02-04 15:30:12";"0000-00-00 00:00:00";"-66"
"27";"0";"0";"22";"7283839";"-77";"39";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"1";"1";"0";"-77";"-77";"03bec9ce88fa7d29c24c12f9d62902a9";"1";"0";"1675546425";"2023-02-04 21:33:45";"2023-02-04 21:34:28";"0000-00-00 00:00:00";"-66"
"33";"0";"0";"22";"7283839";"-77";"29";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"1";"1";"0";"-77";"-77";"e5728da240f0d61e2bd4119483d8a60f";"1";"0";"1675592592";"2023-02-05 10:23:12";"2023-02-05 10:23:45";"0000-00-00 00:00:00";"-66"
"36";"0";"0";"22";"7283839";"-77";"23";"-66";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 9; ANE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839";"1";"0";"0";"-77";"-77";"2a3bf21522e3b153c92e63def164c2b5";"1";"0";"1675664611";"2023-02-06 06:23:31";"2023-02-06 06:23:58";"0000-00-00 00:00:00";"-66"
"37";"0";"0";"22";"7283835";"-77";"0";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835";"1";"1";"0";"-77";"-77";"239507fd2e72d3ab945476713f608341";"1";"0";"1675666210";"2023-02-06 06:50:10";"2023-02-06 06:50:14";"0000-00-00 00:00:00";"-66"
"42";"0";"0";"22";"7283841";"-77";"131";"-66";"1";"6";"6";"6";"6";"4";"6";"6";"5";"4";"6";"5";"3";"1";"33";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"-99";"Ag";"Th";"2";"AgTh2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"1";"0";"0";"-77";"-77";"a0b34dd1a57ee95595811584f13cfa3d";"1";"0";"1675718089";"2023-02-06 21:14:49";"2023-02-06 21:17:55";"0000-00-00 00:00:00";"88f415730459449eb03874142ce64ccb"
"46";"0";"0";"22";"7283841";"-77";"169";"-66";"1";"5";"4";"4";"4";"5";"3";"3";"5";"4";"3";"4";"2";"2";"37";"4";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"He";"Kl";"16";"Hekl16";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 11; LM-Q630) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"0";"0";"-77";"-77";"f19199df24afc2752af542ac40947d97";"1";"0";"1675763069";"2023-02-07 09:44:29";"2023-02-07 09:48:20";"0000-00-00 00:00:00";"4da7ee3ee3065ab73c8649430a61b847"
"49";"0";"0";"22";"7283841";"-77";"119";"-66";"1";"2";"4";"5";"4";"4";"3";"5";"5";"2";"6";"3";"2";"1";"38";"3";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Be";"Kl";"9";"Bekl9";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 10; SM-G965F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"0";"0";"-77";"-77";"fb72d7896177ba5d7e4eb486647943f6";"1";"0";"1675785387";"2023-02-07 15:56:27";"2023-02-07 15:59:16";"0000-00-00 00:00:00";"175c50e0b67b3d6216aba707bfc38509"
"52";"0";"0";"22";"7283841";"-77";"51";"-66";"1";"3";"4";"5";"6";"4";"5";"4";"5";"0";"0";"0";"0";"6";"29";"3";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Ro";"Vo";"3";"Rovo03";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 10; VOG-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"0";"0";"-77";"-77";"f886d494f3d1bf840a4517d62df48b92";"1";"0";"1675786502";"2023-02-07 16:15:02";"2023-02-07 16:17:58";"0000-00-00 00:00:00";"45238540c3853dbd1dcbc100302bee96"
"55";"0";"0";"22";"7283841";"-77";"87";"-66";"1";"6";"6";"5";"5";"5";"6";"4";"6";"4";"5";"6";"4";"1";"-99";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Li";"Ja";"21";"Lija21";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 13; SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"0";"0";"-77";"-77";"9dc603f4eefc10fe8aef838a19ef2db6";"1";"0";"1675845831";"2023-02-08 08:43:51";"2023-02-08 08:45:57";"0000-00-00 00:00:00";"9823a16c5b24bae7d660a8ca075d5cd3"
"59";"0";"0";"22";"7283841";"-77";"112";"-66";"1";"4";"5";"4";"4";"6";"4";"4";"5";"3";"4";"1";"1";"1";"33";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"-99";"ug";"kg";"26";"ugkg26";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 13; SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"1";"0";"0";"-77";"-77";"78b62b2eb4ecbeaa22508376976c10f5";"1";"0";"1675890139";"2023-02-08 21:02:19";"2023-02-08 21:04:51";"0000-00-00 00:00:00";"10845c2e05940e0a7e1ee8c167deaf0d"
"61";"0";"0";"22";"7283841";"-77";"192";"-66";"1";"1";"1";"6";"6";"1";"6";"6";"6";"3";"6";"4";"1";"1";"32";"4";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-99";"Si";"Di";"3";"SiDi03";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"Mozilla/5.0 (Linux; Android 13; SM-G986B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"7283834,7283835,7283836,7283839,7283840,7283841";"0";"1";"0";"-77";"-77";"dd55a1986acb98cce881b2bc03c91069";"1";"0";"1675916441";"2023-02-09 04:20:41";"2023-02-09 04:25:23";"0000-00-00 00:00:00";"09fe35bafa8d739af834cbc0792a3cae"
